Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
16.53,4,0.3332821355924472326047085345,0.360065255758778,0.360065255758778,0.334911804924026,0.334911804924026,0.348015727652588,0.3722848613907447939609303119,0.2502750259361247939609303119,0.12200983545462,5.3325868033708506650217131217,58.82286773315677624868480109,58.822865927388662613621123047,1286231000
16.54,4,0.3332756392304482695146208780,0.36005189599526,0.36005189599526,0.334905276796382,0.334905276796382,0.347918258675195,0.3721866979128889484944072313,0.2501989348455449484944072313,0.121987763067344,5.3311807147290736395836126616,58.813809286266005861251074784,58.813807477576340037167709685,1287009000
16.55,4,0.3332691517550197401993407243,0.360038556804508,0.360038556804508,0.334898757598762,0.334898757598762,0.347820955884945,0.3720887016524356518469591028,0.2501229645248566518469591028,0.121965737127579,5.3297770213005005167888656148,58.804795105731289819181097699,58.804793294127171496521430322,1287787000
16.56,4,0.3332626710220771871843900938,0.36002523446752,0.36002523446752,0.334892245176597,0.334892245176597,0.347723796984624,0.3719908501070627953703409005,0.2500470925705487953703409005,0.121943757536514,5.3283754007630226400215543416,58.795759597527672787977396118,58.795757783003262989464922845,1288565000
16.57,4,0.3332561986796852145419947465,0.360011931902748,0.360011931902748,0.334885741186011,0.334885741186011,0.347626799968527,0.3718931614308112802781932502,0.2499713372354772802781932502,0.121921824195334,5.3269761131541772964076243945,58.786736673931403688610247753,58.786734856487614847212572451,1289343000
16.58,4,0.3332497340725868681752975725,0.359998642791366,0.359998642791366,0.334879244968541,0.334879244968541,0.347529883912673,0.3717955544560492500089809217,0.2498956174508252500089809217,0.121899937005224,5.3255779958332643532881353306,58.777737816436428917566289742,58.77773599607598294546521098,1290122000
16.59,4,0.3332432770927603122815186351,0.359985371991288,0.359985371991288,0.334872756415639,0.334872756415639,0.3474331198446,0.3716981003761654044686024205,0.2498200045087944044686024205,0.121878095867371,5.3241820685704723738320555035,58.7687206703601353112383466,58.768718847077923170876952045,1290900000
16.60,4,0.3332368288410734395730100301,0.359972120010069,0.359972120010069,0.334866276633556,0.334866276633556,0.34733649916391,0.3716007906471178592974962149,0.2497444899641568592974962149,0.121856300682961,5.3227882089814008493374216698,58.759712377311954677965540463,58.759710551108062271936544436,1291678000
16.61,4,0.3332303879649562115614692764,0.359958882666309,0.359958882666309,0.334859804263106,0.334859804263106,0.347239981558534,0.3715035847633544398773004080,0.2496690334101754398773004080,0.121834551353179,5.3213958368667949429732021828,58.750733502135098916323923187,58.750731673013487109285295941,1292456000
16.62,4,0.3332239538794262967474149099,0.359945662579547,0.359945662579547,0.334853338716448,0.334853338716448,0.347143612916645,0.3714065286839991362422792669,0.2495936809047891362422792669,0.12181284777921,5.3200056105425978220804565998,58.741736800191222191514734889,58.741734968146884515544607462,1293234000
