0,816.37271928
0.05,1567.72333495436
0.1,1661.33926930323
0.15,2055.45813417284
0.2,2723.14334530697
0.25,3518.51661047108
0.3,4312.98759041982
0.35,5020.04666313729
0.4,5454.55283474926
0.45,5050.60145452786
0.5,3901.14898439998
0.55,2494.72471447657
0.6,1177.24413631177
0.65,452.230967996578
0.7,394.781468893206
0.75,961.461951446944
0.8,2288.04498077088
0.85,3667.54837806087
0.9,4433.8644385628
0.95,4918.72363205838
1,5129.25663801949
1.05,5124.06299671072
1.1,5330.51964070583
1.15,5534.86666718552
1.2,5295.06973149906
1.25,4619.10805150839
1.3,3573.82397179683
1.35,2276.13325327992
1.4,1217.8370065558
1.45,913.716383790563
1.5,1571.28807318845
1.55,2730.90685666843
1.6,4107.52499765351
1.65,5318.56264518472
1.7,5807.03394436592
1.75,5707.90136816675
1.8,5171.20832365819
1.85,3888.03832329731
1.9,2545.25719099094
1.95,1761.9972288555
2,1158.4772655632
2.05,584.892016816357
2.1,162.425384516878
2.15,0
2.2,0
2.25,0
