timestamp,press,temp,gx,gy,gz,ax,ay,az
2206974700,91.46556091308594,35.781494140625,0.007100999820977449,-0.028480999171733856,0.011834999546408653,0.12023899704217911,-1.1216349601745605,-9.503093719482422
2206984700,91.47016906738281,35.781494140625,0.018478000536561012,-0.03229900076985359,0.030923999845981598,0.11724799871444702,-1.0833499431610107,-9.475577354431152
2206994700,91.47016906738281,35.781494140625,0.009468000382184982,-0.021379999816417694,-0.010689999908208847,0.10468500107526779,-1.1192419528961182,-9.521040916442871
2207004700,91.46556091308594,35.781494140625,0.011377000249922276,-0.03138300031423569,0.002747999969869852,0.056829001754522324,-1.1234300136566162,-9.461817741394043
2207014700,91.47450256347656,35.7906494140625,0.010459999553859234,-0.025655999779701233,-0.01107100024819374,0.03290100023150444,-1.098902940750122,-9.442076683044434
2207024700,91.46914672851562,35.77691650390625,0.01572900079190731,-0.01992899924516678,0.0023670000955462456,0.015553000383079052,-1.1144570112228394,-9.505487442016602
2207034700,91.47016906738281,35.781494140625,0.020462999120354652,-0.025655999779701233,-0.0005339999916031957,0.09690900146961212,-1.1012959480285645,-9.486345291137695
2207044700,91.46785736083984,35.781494140625,0.01336199976503849,-0.019471000880002975,0.017179999500513077,0.09631100296974182,-1.1030910015106201,-9.505487442016602
2207054700,91.46324920654297,35.781494140625,0.010459999553859234,-0.02466299943625927,-0.006794999819248915,0.10049799829721451,-1.1024930477142334,-9.503692626953125
2207064700,91.47708892822266,35.781494140625,0.010537000373005867,-0.021379999816417694,0.021990999579429626,0.09930200129747391,-1.1264209747314453,-9.504888534545898
2207074700,91.46785736083984,35.781494140625,0.009544000029563904,-0.028480999171733856,-0.010079000145196915,0.07238200306892395,-1.079761028289795,-9.481558799743652
2207084700,91.47118377685547,35.78607177734375,0.01763799972832203,-0.029015999287366867,0.02718299999833107,0.11724799871444702,-1.1018940210342407,-9.527621269226074
2207094700,91.47016906738281,35.781494140625,0.02710700035095215,-0.032832998782396317,-0.005803000181913376,0.06520400196313858,-1.1168489456176758,-9.492924690246582
2207104700,91.46324920654297,35.781494140625,0.014278000220656395,-0.03184099867939949,0.025808999314904213,0.09631100296974182,-1.1539380550384521,-9.515657424926758
2207114700,91.46785736083984,35.781494140625,0.0222960002720356,-0.03466600179672241,0.011834999546408653,0.12562300264835358,-1.0408769845962524,-9.500701904296875
2207124700,91.46222686767578,35.77691650390625,0.01473699975758791,-0.023747000843286514,0.014201999641954899,-0.0017940000398084521,-1.1246260404586792,-9.468399047851562
2207134700,91.4642562866211,35.78607177734375,0.01565299928188324,-0.03711000084877014,0.00992599967867136,0.10588199645280838,-1.1096709966659546,-9.533004760742188
